"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_budidaya";"n_utp_pembibitan";"n_utp_budidaya_dan_pembibitan";"n_utp_jumlah";"n_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310010] PAGA";"53";"5310";"5310010";"10";"0";"0";"10";"10"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310011] MEGO";"53";"5310";"5310011";"21";"0";"0";"21";"21"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310012] TANA WAWO";"53";"5310";"5310012";"1";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310020] LELA";"53";"5310";"5310020";"30";"0";"0";"30";"30"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310030] BOLA";"53";"5310";"5310030";"2";"0";"0";"2";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310031] DORENG";"53";"5310";"5310031";"9";"0";"0";"9";"9"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310032] MAPITARA";"53";"5310";"5310032";"2";"0";"0";"2";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310040] TALIBURA";"53";"5310";"5310040";"15";"0";"0";"15";"15"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310041] WAIGETE";"53";"5310";"5310041";"61";"0";"0";"61";"61"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310042] WAIBLAMA";"53";"5310";"5310042";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310050] KEWAPANTE";"53";"5310";"5310050";"4";"0";"0";"4";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"2";"0";"0";"2";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310052] KANGAE";"53";"5310";"5310052";"6";"0";"0";"6";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310061] PALUE";"53";"5310";"5310061";"1";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310062] KOTING";"53";"5310";"5310062";"12";"0";"0";"12";"12"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310063] NELLE";"53";"5310";"5310063";"1";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310070] NITA";"53";"5310";"5310070";"217";"0";"0";"217";"217"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310071] MAGEPANDA";"53";"5310";"5310071";"63";"0";"0";"63";"63"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310080] ALOK";"53";"5310";"5310080";"9";"0";"0";"9";"9"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310081] ALOK BARAT";"53";"5310";"5310081";"19";"0";"0";"19";"19"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"3";"0";"0";"3";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310] SIKKA";"53";"5310";"5310999";"488";"0";"0";"488";"488"
