"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"ID";"n_rtup";"sum_jumlah_tanaman_belum_menghasilkan";"sum_jumlah_tanaman_menghasilkan";"sum_jumlah_tanaman_tidak_menghasilkan";"sum_produksi_volume";"sum_produksi_nilai"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2133_2139";"[5310010] PAGA";"53";"5310";"5310010";"139448309";"7";"0";"11";"0";"284";"459"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2133_2139";"[5310011] MEGO";"53";"5310";"5310011";"119526371";"10";"0";"343";"0";"6389";"6725"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2133_2139";"[5310012] TANA WAWO";"53";"5310";"5310012";"99604505";"1";"0";"20";"0";"665";"625"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2133_2139";"[5310020] LELA";"53";"5310";"5310020";"89643969";"19";"14";"26";"1";"578";"3648"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2133_2139";"[5310030] BOLA";"53";"5310";"5310030";"79683460";"40";"35";"79";"3";"1993";"7682"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2133_2139";"[5310031] DORENG";"53";"5310";"5310031";"89643816";"6";"66";"13";"0";"341";"1060"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2133_2139";"[5310032] MAPITARA";"53";"5310";"5310032";"39841670";"8";"2";"14";"0";"260";"750"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2133_2139";"[5310040] TALIBURA";"53";"5310";"5310040";"199208824";"175";"183";"1069";"11";"11941.6";"42545"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2133_2139";"[5310041] WAIGETE";"53";"5310";"5310041";"109565599";"314";"136";"891";"14";"27559";"120617"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2133_2139";"[5310042] WAIBLAMA";"53";"5310";"5310042";"69723500";"21";"27";"36";"0";"534";"1972"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2133_2139";"[5310050] KEWAPANTE";"53";"5310";"5310050";"89644428";"162";"29";"320";"9";"9015";"48284"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2133_2139";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"69723127";"20";"19";"74";"1";"2599.92";"15920"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2133_2139";"[5310052] KANGAE";"53";"5310";"5310052";"89644293";"93";"107";"190";"1";"12667.6";"60690"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2133_2139";"[5310061] PALUE";"53";"5310";"5310061";"79683748";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2133_2139";"[5310062] KOTING";"53";"5310";"5310062";"69721442";"96";"85";"155";"2";"2794";"11813"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2133_2139";"[5310063] NELLE";"53";"5310";"5310063";"49799300";"71";"11";"158";"0";"5037";"22509"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2133_2139";"[5310070] NITA";"53";"5310";"5310070";"149397750";"68";"41";"211";"2";"99527";"584404"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2133_2139";"[5310071] MAGEPANDA";"53";"5310";"5310071";"79678708";"277";"55";"633";"18";"12142";"45578"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2133_2139";"[5310080] ALOK";"53";"5310";"5310080";"69718817";"293";"46";"521";"1";"29662.7";"144938"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2133_2139";"[5310081] ALOK BARAT";"53";"5310";"5310081";"39839302";"149";"42";"353";"18";"7657";"55588"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2133_2139";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"109557998";"175";"27";"331";"0";"25454.4";"86420"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2133_2139";"[5310] SIKKA";"53";"5310";"5310999";"1932298936";"2005";"925";"5448";"81";"257101.22";"1262227"
