"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_utp_melakukan_kegiatan_ekonomi_selain_pertanian";"n_utp_melakukan_kegiatan_ekonomi_manufaktur_pengolahan_produk_tani";"n_utp_melakukan_kegiatan_ekonomi_manufaktur_kerajinan_tangan";"n_utp_melakukan_kegiatan_ekonomi_perdagangan_grosir_dan_eceran_perbaikan_motor";"n_utp_melakukan_kegiatan_ekonomi_hotel_dan_restoran";"n_utp_melakukan_kegiatan_ekonomi_agrowisata";"n_utp_melakukan_kegiatan_ekonomi_lainnya";"n_utp_tani"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"36";"18";"0";"4";"0";"0";"36";"2977"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"8";"5";"3";"3";"0";"0";"6";"2408"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"2";"0";"0";"2";"0";"0";"1";"1770"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"56";"45";"4";"5";"0";"0";"47";"2000"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"32";"21";"8";"4";"0";"0";"17";"2240"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"9";"0";"0";"2";"0";"0";"9";"2283"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"9";"5";"1";"2";"0";"0";"9";"1439"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"8";"4";"1";"2";"0";"0";"7";"4674"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"37";"11";"9";"10";"0";"0";"22";"4966"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"7";"5";"0";"2";"0";"0";"5";"1680"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"4";"3";"0";"0";"0";"0";"4";"2135"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"78";"74";"4";"3";"0";"0";"69";"1776"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"28";"7";"3";"5";"0";"0";"25";"3462"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"55";"52";"23";"3";"0";"0";"25";"1890"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"67";"55";"2";"9";"0";"0";"57";"1319"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"51";"35";"11";"14";"0";"2";"34";"1085"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"123";"87";"6";"16";"1";"0";"91";"3983"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"6";"3";"0";"2";"0";"0";"5";"2705"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"23";"2";"0";"7";"0";"0";"21";"2923"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"5";"1";"0";"0";"0";"0";"5";"2887"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"6";"3";"1";"1";"0";"0";"5";"3086"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"650";"436";"76";"96";"1";"2";"500";"53688"
