"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_budidaya";"n_utp_pembibitan";"n_utp_budidaya_dan_pembibitan";"n_utp_jumlah";"n_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103";"[5310010] PAGA";"53";"5310";"5310010";"122";"0";"0";"122";"122"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103";"[5310011] MEGO";"53";"5310";"5310011";"215";"0";"0";"215";"215"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103";"[5310012] TANA WAWO";"53";"5310";"5310012";"30";"0";"0";"30";"30"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103";"[5310020] LELA";"53";"5310";"5310020";"3";"0";"0";"3";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103";"[5310030] BOLA";"53";"5310";"5310030";"3";"0";"0";"3";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103";"[5310031] DORENG";"53";"5310";"5310031";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103";"[5310032] MAPITARA";"53";"5310";"5310032";"1";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103";"[5310040] TALIBURA";"53";"5310";"5310040";"210";"0";"0";"210";"210"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103";"[5310041] WAIGETE";"53";"5310";"5310041";"77";"0";"0";"77";"77"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103";"[5310042] WAIBLAMA";"53";"5310";"5310042";"136";"0";"0";"136";"136"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103";"[5310050] KEWAPANTE";"53";"5310";"5310050";"1";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103";"[5310052] KANGAE";"53";"5310";"5310052";"3";"0";"0";"3";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103";"[5310062] KOTING";"53";"5310";"5310062";"8";"0";"0";"8";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103";"[5310063] NELLE";"53";"5310";"5310063";"4";"0";"0";"4";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103";"[5310070] NITA";"53";"5310";"5310070";"61";"0";"0";"61";"61"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103";"[5310071] MAGEPANDA";"53";"5310";"5310071";"46";"0";"0";"46";"46"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103";"[5310080] ALOK";"53";"5310";"5310080";"14";"0";"0";"14";"14"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103";"[5310081] ALOK BARAT";"53";"5310";"5310081";"9";"0";"0";"9";"9"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"22";"0";"0";"22";"22"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103";"[5310] SIKKA";"53";"5310";"5310999";"965";"0";"0";"965";"965"
