"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_ruta_panen_sendiri";"n_ruta_ijon";"n_ruta_tebas";"n_ruta_tdk_panen";"n_ruta_blm_panen"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310010] PAGA";"53";"5310";"5310010";"12";"0";"0";"1";"28"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310011] MEGO";"53";"5310";"5310011";"161";"0";"0";"0";"128"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310012] TANA WAWO";"53";"5310";"5310012";"22";"0";"0";"1";"57"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310020] LELA";"53";"5310";"5310020";"64";"0";"0";"0";"7"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310030] BOLA";"53";"5310";"5310030";"491";"2";"0";"16";"153"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310031] DORENG";"53";"5310";"5310031";"252";"4";"0";"9";"128"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310032] MAPITARA";"53";"5310";"5310032";"138";"0";"0";"1";"96"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310040] TALIBURA";"53";"5310";"5310040";"13";"0";"0";"0";"23"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310041] WAIGETE";"53";"5310";"5310041";"54";"0";"0";"1";"53"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310042] WAIBLAMA";"53";"5310";"5310042";"8";"0";"0";"0";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310050] KEWAPANTE";"53";"5310";"5310050";"10";"0";"0";"10";"19"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"149";"0";"0";"17";"43"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310052] KANGAE";"53";"5310";"5310052";"151";"0";"0";"4";"22"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310061] PALUE";"53";"5310";"5310061";"2";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310062] KOTING";"53";"5310";"5310062";"23";"0";"0";"8";"30"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310063] NELLE";"53";"5310";"5310063";"1";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310070] NITA";"53";"5310";"5310070";"165";"0";"0";"8";"117"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310071] MAGEPANDA";"53";"5310";"5310071";"2";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310080] ALOK";"53";"5310";"5310080";"0";"0";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310081] ALOK BARAT";"53";"5310";"5310081";"1";"0";"0";"0";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"14";"0";"0";"0";"14"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310] SIKKA";"53";"5310";"5310999";"1733";"6";"0";"76";"926"
