"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_seluruhnya_dijual";"n_utp_sebagian_besar_dijual";"n_utp_sebagian_besar_dikonsumsi_sendiri";"n_utp_seluruhnya_dikonsumsi_sendiri";"n_utp_belum_dijual"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310010] PAGA";"53";"5310";"5310010";"13";"7";"8";"999";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310011] MEGO";"53";"5310";"5310011";"12";"8";"3";"500";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310012] TANA WAWO";"53";"5310";"5310012";"6";"1";"0";"313";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310020] LELA";"53";"5310";"5310020";"3";"7";"27";"259";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310030] BOLA";"53";"5310";"5310030";"10";"7";"19";"412";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310031] DORENG";"53";"5310";"5310031";"3";"4";"30";"56";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310032] MAPITARA";"53";"5310";"5310032";"1";"5";"3";"119";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310040] TALIBURA";"53";"5310";"5310040";"22";"41";"89";"1126";"20"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310041] WAIGETE";"53";"5310";"5310041";"37";"251";"79";"1087";"14"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310042] WAIBLAMA";"53";"5310";"5310042";"4";"10";"2";"370";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310050] KEWAPANTE";"53";"5310";"5310050";"7";"42";"21";"1004";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"0";"5";"9";"224";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310052] KANGAE";"53";"5310";"5310052";"27";"97";"299";"1628";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310061] PALUE";"53";"5310";"5310061";"6";"1";"11";"1280";"37"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310062] KOTING";"53";"5310";"5310062";"6";"35";"28";"492";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310063] NELLE";"53";"5310";"5310063";"4";"42";"121";"446";"41"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310070] NITA";"53";"5310";"5310070";"21";"56";"23";"1232";"7"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310071] MAGEPANDA";"53";"5310";"5310071";"12";"44";"34";"514";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310080] ALOK";"53";"5310";"5310080";"8";"46";"49";"1146";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310081] ALOK BARAT";"53";"5310";"5310081";"17";"165";"49";"735";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"127";"152";"188";"1227";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310] SIKKA";"53";"5310";"5310999";"346";"1026";"1092";"15169";"166"
