"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"ID";"n_rtup";"sum_jumlah_tanaman_belum_menghasilkan";"sum_jumlah_tanaman_menghasilkan";"sum_jumlah_tanaman_tidak_menghasilkan";"sum_produksi_volume";"sum_produksi_nilai"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2124_2128";"[5310010] PAGA";"53";"5310";"5310010";"141026326";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2124_2128";"[5310011] MEGO";"53";"5310";"5310011";"120879858";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2124_2128";"[5310012] TANA WAWO";"53";"5310";"5310012";"100733105";"7";"0";"72";"0";"174";"2800"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2124_2128";"[5310020] LELA";"53";"5310";"5310020";"90659709";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2124_2128";"[5310030] BOLA";"53";"5310";"5310030";"80586340";"2";"0";"3";"0";"7";"63"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2124_2128";"[5310031] DORENG";"53";"5310";"5310031";"90659556";"1";"15";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2124_2128";"[5310032] MAPITARA";"53";"5310";"5310032";"40292753";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2124_2128";"[5310040] TALIBURA";"53";"5310";"5310040";"201462930";"5";"27";"1";"1";"8";"200"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2124_2128";"[5310041] WAIGETE";"53";"5310";"5310041";"110804441";"3";"2";"2";"0";"8";"60"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2124_2128";"[5310042] WAIBLAMA";"53";"5310";"5310042";"70511854";"3";"25";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2124_2128";"[5310050] KEWAPANTE";"53";"5310";"5310050";"90658026";"1";"5";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2124_2128";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"70511742";"6";"38";"36";"4";"99";"3675"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2124_2128";"[5310052] KANGAE";"53";"5310";"5310052";"90658715";"1";"0";"1";"0";"320";"40"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2124_2128";"[5310061] PALUE";"53";"5310";"5310061";"80585668";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2124_2128";"[5310062] KOTING";"53";"5310";"5310062";"70512407";"10";"18";"5";"0";"33";"280"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2124_2128";"[5310063] NELLE";"53";"5310";"5310063";"50365975";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2124_2128";"[5310070] NITA";"53";"5310";"5310070";"151097775";"9";"193";"133";"0";"404";"5320"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2124_2128";"[5310071] MAGEPANDA";"53";"5310";"5310071";"80585388";"2";"0";"3";"0";"3480";"1705"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2124_2128";"[5310080] ALOK";"53";"5310";"5310080";"70512162";"1";"0";"1";"0";"72";"150"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2124_2128";"[5310081] ALOK BARAT";"53";"5310";"5310081";"40293951";"2";"0";"1";"0";"20";"500"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2124_2128";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"110819082";"1";"1";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2124_2128";"[5310] SIKKA";"53";"5310";"5310999";"1954217763";"54";"324";"258";"5";"4625";"14793"
