tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;n_utp_ternak_besar_tujuan_pengembangbiakan;n_utp_ternak_besar_tujuan_penggemukan;n_utp_ternak_besar_tujuan_pembibitan;n_utp_ternak_besar_tujuan_pembesaran;n_utp_ternak_besar_tujuan_produksi;jumlah;n_utp_usaha_ternak_besar
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310051] HEWOKLOANG;53;5310;5310051;0;0;0;0;0;0;0
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310052] KANGAE;53;5310;5310052;0;0;0;0;0;0;0
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0;0
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310062] KOTING;53;5310;5310062;0;0;0;0;0;0;0
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310063] NELLE;53;5310;5310063;0;0;0;0;0;0;0
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310070] NITA;53;5310;5310070;0;0;0;0;0;0;0
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310071] MAGEPANDA;53;5310;5310071;0;0;0;0;0;0;0
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310080] ALOK;53;5310;5310080;0;0;0;0;0;0;0
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310081] ALOK BARAT;53;5310;5310081;0;0;0;0;0;0;0
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310082] ALOK TIMUR;53;5310;5310082;0;0;0;0;0;0;0
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310] SIKKA;53;5310;5310999;0;0;0;0;0;0;0
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310010] PAGA;53;5310;5310010;254;15;0;0;0;269;269
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310011] MEGO;53;5310;5310011;431;11;0;0;0;442;442
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310012] TANA WAWO;53;5310;5310012;300;38;0;0;0;338;338
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310020] LELA;53;5310;5310020;108;7;0;0;0;115;115
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310030] BOLA;53;5310;5310030;189;27;3;0;0;219;219
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310031] DORENG;53;5310;5310031;168;54;0;0;0;222;222
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310032] MAPITARA;53;5310;5310032;157;8;0;0;0;165;165
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310040] TALIBURA;53;5310;5310040;704;45;3;0;0;752;752
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310041] WAIGETE;53;5310;5310041;274;141;0;0;0;415;415
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310042] WAIBLAMA;53;5310;5310042;150;2;0;0;0;152;152
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310050] KEWAPANTE;53;5310;5310050;182;30;0;0;0;212;212
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310051] HEWOKLOANG;53;5310;5310051;22;13;0;0;0;35;35
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310052] KANGAE;53;5310;5310052;307;19;0;0;0;326;326
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0;0
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310062] KOTING;53;5310;5310062;4;4;0;0;0;8;8
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310063] NELLE;53;5310;5310063;20;2;0;0;0;22;22
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310070] NITA;53;5310;5310070;37;13;0;0;0;50;50
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310071] MAGEPANDA;53;5310;5310071;178;218;0;0;0;396;396
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310080] ALOK;53;5310;5310080;7;4;0;0;0;11;11
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310081] ALOK BARAT;53;5310;5310081;80;120;0;0;0;200;200
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310082] ALOK TIMUR;53;5310;5310082;98;23;0;0;0;121;121
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310] SIKKA;53;5310;5310999;3670;794;6;0;0;4470;4470
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310010] PAGA;53;5310;5310010;0;0;0;0;0;0;0
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310011] MEGO;53;5310;5310011;0;0;0;0;0;0;0
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310012] TANA WAWO;53;5310;5310012;0;0;0;0;0;0;0
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310020] LELA;53;5310;5310020;0;0;0;0;0;0;0
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310030] BOLA;53;5310;5310030;0;0;0;0;0;0;0
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310031] DORENG;53;5310;5310031;0;0;0;0;0;0;0
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310032] MAPITARA;53;5310;5310032;0;0;0;0;0;0;0
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310040] TALIBURA;53;5310;5310040;0;0;0;0;0;0;0
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310041] WAIGETE;53;5310;5310041;0;0;0;0;0;0;0
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0;0;0
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310050] KEWAPANTE;53;5310;5310050;0;0;0;0;0;0;0
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310051] HEWOKLOANG;53;5310;5310051;0;0;0;0;0;0;0
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310052] KANGAE;53;5310;5310052;0;0;0;0;0;0;0
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0;0
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310062] KOTING;53;5310;5310062;0;0;0;0;0;0;0
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310063] NELLE;53;5310;5310063;0;0;0;0;0;0;0
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310070] NITA;53;5310;5310070;0;0;0;0;0;0;0
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310071] MAGEPANDA;53;5310;5310071;0;0;0;0;0;0;0
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310080] ALOK;53;5310;5310080;0;0;0;0;0;0;0
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310081] ALOK BARAT;53;5310;5310081;0;0;0;0;0;0;0
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310082] ALOK TIMUR;53;5310;5310082;0;0;0;0;0;0;0
BAB_6_tabel_6_14_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310] SIKKA;53;5310;5310999;0;0;0;0;0;0;0
