"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_usaha_selain_ternak_besar_produksi_daging";"n_rtup_usaha_selain_ternak_besar_produksi_susu_segar";"n_rtup_usaha_selain_ternak_besar_produksi_telur_konsumsi";"n_rtup_usaha_selain_ternak_besar_produksi_telur_tetas";"n_rtup_usaha_selain_ternak_besar_produksi_semen_ternak";"n_rtup_usaha_selain_ternak_besar_produksi_embrio";"n_rtup_usaha_selain_ternak_besar_produksi_madu";"n_rtup_usaha_selain_ternak_besar_produksi_liur_atau_sarang";"n_rtup_usaha_selain_ternak_besar_produksi_bulu";"n_rtup_usaha_selain_ternak_besar_produksi_kepompong";"n_rtup_usaha_selain_ternak_besar_produksi_kulit";"n_rtup_usaha_selain_ternak_besar_produksi_lilin_malam";"jumlah";"n_rtup_usaha_selain_ternak_besar"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310010] PAGA";"53";"5310";"5310010";"505";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"508";"507"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310011] MEGO";"53";"5310";"5310011";"581";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"581";"581"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310012] TANA WAWO";"53";"5310";"5310012";"396";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"396";"396"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310020] LELA";"53";"5310";"5310020";"471";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"471";"471"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310030] BOLA";"53";"5310";"5310030";"700";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"700";"700"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310031] DORENG";"53";"5310";"5310031";"659";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"659";"659"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310032] MAPITARA";"53";"5310";"5310032";"364";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"364";"364"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310040] TALIBURA";"53";"5310";"5310040";"1146";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1146";"1146"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310041] WAIGETE";"53";"5310";"5310041";"987";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"987";"987"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310042] WAIBLAMA";"53";"5310";"5310042";"342";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"342";"342"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310050] KEWAPANTE";"53";"5310";"5310050";"642";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"642";"642"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"447";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"447";"447"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310052] KANGAE";"53";"5310";"5310052";"1103";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1105";"1105"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310061] PALUE";"53";"5310";"5310061";"321";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"321";"321"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310062] KOTING";"53";"5310";"5310062";"304";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"304";"304"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310063] NELLE";"53";"5310";"5310063";"403";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"403";"403"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310070] NITA";"53";"5310";"5310070";"926";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"926";"926"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310071] MAGEPANDA";"53";"5310";"5310071";"773";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"773";"773"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310080] ALOK";"53";"5310";"5310080";"813";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"817";"817"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310081] ALOK BARAT";"53";"5310";"5310081";"723";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"724";"724"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"1182";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1182";"1182"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310] SIKKA";"53";"5310";"5310999";"13788";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"0";"13798";"13797"
