"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp";"sum_luas_tanam";"mean_luas_tanam_per_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1203";"[5310010] PAGA";"53";"5310";"5310010";"3";"0.50";"1666.66"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1203";"[5310011] MEGO";"53";"5310";"5310011";"4";"0.52";"1300.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1203";"[5310012] TANA WAWO";"53";"5310";"5310012";"17";"2.43";"1429.41"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1203";"[5310020] LELA";"53";"5310";"5310020";"16";"1.34";"837.50"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1203";"[5310030] BOLA";"53";"5310";"5310030";"6";"0.32";"533.33"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1203";"[5310031] DORENG";"53";"5310";"5310031";"3";"0.18";"600.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1203";"[5310032] MAPITARA";"53";"5310";"5310032";"46";"4.91";"1067.39"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1203";"[5310040] TALIBURA";"53";"5310";"5310040";"133";"9.07";"681.95"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1203";"[5310041] WAIGETE";"53";"5310";"5310041";"209";"23.25";"1112.44"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1203";"[5310042] WAIBLAMA";"53";"5310";"5310042";"4";"2.15";"5375.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1203";"[5310050] KEWAPANTE";"53";"5310";"5310050";"220";"25.11";"1141.36"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1203";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"23";"1.02";"443.47"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1203";"[5310052] KANGAE";"53";"5310";"5310052";"109";"30.70";"2816.51"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1203";"[5310061] PALUE";"53";"5310";"5310061";"3";"0.19";"633.33"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1203";"[5310062] KOTING";"53";"5310";"5310062";"202";"24.61";"1218.31"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1203";"[5310063] NELLE";"53";"5310";"5310063";"14";"1.40";"1000.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1203";"[5310070] NITA";"53";"5310";"5310070";"195";"17.33";"888.71"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1203";"[5310071] MAGEPANDA";"53";"5310";"5310071";"295";"47.51";"1610.50"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1203";"[5310080] ALOK";"53";"5310";"5310080";"136";"35.15";"2584.55"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1203";"[5310081] ALOK BARAT";"53";"5310";"5310081";"410";"41.24";"1005.85"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1203";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"62";"23.98";"3867.74"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1203";"[5310] SIKKA";"53";"5310";"5310999";"2110";"292.88";"1388.05"
