tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;jenis_produksi;satuan_produksi;ID;sum_jumlah_tanaman_belum_menghasilkan;sum_jumlah_tanaman_menghasilkan;sum_jumlah_tanaman_tidak_menghasilkan;sum_produksi_volume;sum_produksi_nilai
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2124_2128;[5310040] TALIBURA;53;5310;5310040;5;1;6903555;0;1;1;8;200
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2124_2128;[5310041] WAIGETE;53;5310;5310041;5;1;6903533;0;1;0;8;60
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2124_2128;[5310051] HEWOKLOANG;53;5310;5310051;5;1;27613590;38;36;4;99;3675
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2124_2128;[5310052] KANGAE;53;5310;5310052;5;1;6903385;0;1;0;320;40
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2124_2128;[5310062] KOTING;53;5310;5310062;5;1;13801850;0;5;0;33;280
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2124_2128;[5310070] NITA;53;5310;5310070;5;1;27608543;0;133;0;404;5320
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2124_2128;[5310071] MAGEPANDA;53;5310;5310071;5;1;13806913;0;3;0;3480;1705
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2124_2128;[5310080] ALOK;53;5310;5310080;5;1;6903451;0;1;0;72;150
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2124_2128;[5310081] ALOK BARAT;53;5310;5310081;5;1;6903442;0;1;0;20;500
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2124_2128;[5310] SIKKA;53;5310;5310999;5;1;144962158;38;257;5;4625;14793
