tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;jml_utp_usaha_total_1_9_ternak;jml_utp_usaha_total_10_49_ternak;jml_utp_usaha_total_50_99_ternak;jml_utp_usaha_total_100_199_ternak;jml_utp_usaha_total_200_499_ternak;jml_utp_usaha_total_500_999_ternak;jml_utp_usaha_total_1000_4999_ternak;jml_utp_usaha_total_5000_9999_ternak;jml_utp_usaha_total_10000_more_ternak
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4303;[5310050] KEWAPANTE;53;5310;5310050;0;1;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4303;[5310051] HEWOKLOANG;53;5310;5310051;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4303;[5310052] KANGAE;53;5310;5310052;0;0;0;1;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4303;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4303;[5310062] KOTING;53;5310;5310062;0;2;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4303;[5310063] NELLE;53;5310;5310063;0;0;0;0;1;1;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4303;[5310070] NITA;53;5310;5310070;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4303;[5310071] MAGEPANDA;53;5310;5310071;0;0;0;0;0;0;1;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4303;[5310080] ALOK;53;5310;5310080;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4303;[5310081] ALOK BARAT;53;5310;5310081;0;0;0;1;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4303;[5310082] ALOK TIMUR;53;5310;5310082;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4303;[5310] SIKKA;53;5310;5310999;0;3;0;4;3;1;1;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4304;[5310010] PAGA;53;5310;5310010;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4304;[5310011] MEGO;53;5310;5310011;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4304;[5310012] TANA WAWO;53;5310;5310012;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4304;[5310020] LELA;53;5310;5310020;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4304;[5310030] BOLA;53;5310;5310030;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4304;[5310031] DORENG;53;5310;5310031;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4304;[5310032] MAPITARA;53;5310;5310032;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4304;[5310040] TALIBURA;53;5310;5310040;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4304;[5310041] WAIGETE;53;5310;5310041;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4304;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4304;[5310050] KEWAPANTE;53;5310;5310050;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4304;[5310051] HEWOKLOANG;53;5310;5310051;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4304;[5310052] KANGAE;53;5310;5310052;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4304;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4304;[5310062] KOTING;53;5310;5310062;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4304;[5310063] NELLE;53;5310;5310063;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4304;[5310070] NITA;53;5310;5310070;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4304;[5310071] MAGEPANDA;53;5310;5310071;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4304;[5310080] ALOK;53;5310;5310080;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4304;[5310081] ALOK BARAT;53;5310;5310081;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4304;[5310082] ALOK TIMUR;53;5310;5310082;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4304;[5310] SIKKA;53;5310;5310999;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4305;[5310010] PAGA;53;5310;5310010;70;22;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4305;[5310011] MEGO;53;5310;5310011;40;5;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4305;[5310012] TANA WAWO;53;5310;5310012;19;4;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4305;[5310020] LELA;53;5310;5310020;19;3;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4305;[5310030] BOLA;53;5310;5310030;10;3;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4305;[5310031] DORENG;53;5310;5310031;5;1;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4305;[5310032] MAPITARA;53;5310;5310032;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4305;[5310040] TALIBURA;53;5310;5310040;36;7;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4305;[5310041] WAIGETE;53;5310;5310041;35;7;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4305;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4305;[5310050] KEWAPANTE;53;5310;5310050;22;7;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4305;[5310051] HEWOKLOANG;53;5310;5310051;9;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4305;[5310052] KANGAE;53;5310;5310052;43;19;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4305;[5310061] PALUE;53;5310;5310061;2;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4305;[5310062] KOTING;53;5310;5310062;13;1;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4305;[5310063] NELLE;53;5310;5310063;16;4;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4305;[5310070] NITA;53;5310;5310070;30;2;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4305;[5310071] MAGEPANDA;53;5310;5310071;72;14;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4305;[5310080] ALOK;53;5310;5310080;68;32;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4305;[5310081] ALOK BARAT;53;5310;5310081;33;17;1;1;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4305;[5310082] ALOK TIMUR;53;5310;5310082;52;26;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4305;[5310] SIKKA;53;5310;5310999;594;174;1;1;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4306;[5310010] PAGA;53;5310;5310010;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4306;[5310011] MEGO;53;5310;5310011;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4306;[5310012] TANA WAWO;53;5310;5310012;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4306;[5310020] LELA;53;5310;5310020;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4306;[5310030] BOLA;53;5310;5310030;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4306;[5310031] DORENG;53;5310;5310031;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4306;[5310032] MAPITARA;53;5310;5310032;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4306;[5310040] TALIBURA;53;5310;5310040;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4306;[5310041] WAIGETE;53;5310;5310041;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4306;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4306;[5310050] KEWAPANTE;53;5310;5310050;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4306;[5310051] HEWOKLOANG;53;5310;5310051;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4306;[5310052] KANGAE;53;5310;5310052;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4306;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4306;[5310062] KOTING;53;5310;5310062;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4306;[5310063] NELLE;53;5310;5310063;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4306;[5310070] NITA;53;5310;5310070;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4306;[5310071] MAGEPANDA;53;5310;5310071;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4306;[5310080] ALOK;53;5310;5310080;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4306;[5310081] ALOK BARAT;53;5310;5310081;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4306;[5310082] ALOK TIMUR;53;5310;5310082;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4306;[5310] SIKKA;53;5310;5310999;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4307;[5310010] PAGA;53;5310;5310010;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4307;[5310011] MEGO;53;5310;5310011;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4307;[5310012] TANA WAWO;53;5310;5310012;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4307;[5310020] LELA;53;5310;5310020;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4307;[5310030] BOLA;53;5310;5310030;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4307;[5310031] DORENG;53;5310;5310031;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4307;[5310032] MAPITARA;53;5310;5310032;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4307;[5310040] TALIBURA;53;5310;5310040;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4307;[5310041] WAIGETE;53;5310;5310041;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4307;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4307;[5310050] KEWAPANTE;53;5310;5310050;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4307;[5310051] HEWOKLOANG;53;5310;5310051;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4307;[5310052] KANGAE;53;5310;5310052;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4307;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4307;[5310062] KOTING;53;5310;5310062;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4307;[5310063] NELLE;53;5310;5310063;0;0;0;0;0;0;0;0;0
