"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_budidaya_tanaman_kehutanan";"n_utp_budidaya_tanaman_kehutanan_umur_tanaman_kurang_2_thn";"n_utp_budidaya_tanaman_kehutanan_umur_tanaman_2_sampai_4_thn";"n_utp_budidaya_tanaman_kehutanan_umur_tanaman_4_sampai_6_thn";"n_utp_budidaya_tanaman_kehutanan_umur_tanaman_lebih_6_thn"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310010] PAGA";"53";"5310";"5310010";"201";"11";"32";"77";"89"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310011] MEGO";"53";"5310";"5310011";"115";"10";"25";"37";"49"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310012] TANA WAWO";"53";"5310";"5310012";"368";"42";"141";"108";"113"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310020] LELA";"53";"5310";"5310020";"38";"7";"15";"8";"15"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310030] BOLA";"53";"5310";"5310030";"225";"25";"69";"49";"107"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310031] DORENG";"53";"5310";"5310031";"96";"10";"26";"20";"48"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310032] MAPITARA";"53";"5310";"5310032";"72";"13";"22";"17";"32"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310040] TALIBURA";"53";"5310";"5310040";"1049";"212";"265";"316";"602"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310041] WAIGETE";"53";"5310";"5310041";"658";"117";"229";"209";"313"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310042] WAIBLAMA";"53";"5310";"5310042";"196";"33";"73";"64";"78"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310050] KEWAPANTE";"53";"5310";"5310050";"165";"12";"27";"35";"100"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"290";"41";"79";"85";"105"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310052] KANGAE";"53";"5310";"5310052";"241";"53";"59";"56";"116"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310061] PALUE";"53";"5310";"5310061";"2";"2";"1";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310062] KOTING";"53";"5310";"5310062";"89";"11";"18";"16";"47"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310063] NELLE";"53";"5310";"5310063";"42";"5";"10";"12";"24"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310070] NITA";"53";"5310";"5310070";"613";"110";"169";"185";"328"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310071] MAGEPANDA";"53";"5310";"5310071";"114";"16";"28";"23";"68"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310080] ALOK";"53";"5310";"5310080";"33";"7";"10";"6";"19"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310081] ALOK BARAT";"53";"5310";"5310081";"15";"2";"4";"4";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"157";"22";"35";"33";"85"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310] SIKKA";"53";"5310";"5310999";"4779";"761";"1337";"1360";"2344"
