"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"ID";"n_utp_budidaya";"n_utp_pembibitan";"n_utp_budidaya_dan_pembibitan";"n_utp_jumlah";"n_utp_budidaya_jumlah";"n_utp_pembibitan_jumlah";"n_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2158_2160";"[5310010] PAGA";"53";"5310";"5310010";"11631";"1";"0";"0";"1";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2158_2160";"[5310011] MEGO";"53";"5310";"5310011";"13254";"4";"0";"0";"4";"4";"0";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2158_2160";"[5310012] TANA WAWO";"53";"5310";"5310012";"10935";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2158_2160";"[5310020] LELA";"53";"5310";"5310020";"9756";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2158_2160";"[5310030] BOLA";"53";"5310";"5310030";"8604";"13";"0";"0";"13";"13";"0";"13"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2158_2160";"[5310031] DORENG";"53";"5310";"5310031";"9603";"5";"0";"0";"5";"5";"0";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2158_2160";"[5310032] MAPITARA";"53";"5310";"5310032";"4242";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2158_2160";"[5310040] TALIBURA";"53";"5310";"5310040";"21417";"14";"0";"0";"14";"14";"0";"14"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2158_2160";"[5310041] WAIGETE";"53";"5310";"5310041";"13002";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2158_2160";"[5310042] WAIBLAMA";"53";"5310";"5310042";"8211";"1";"0";"0";"1";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2158_2160";"[5310050] KEWAPANTE";"53";"5310";"5310050";"10485";"1";"0";"0";"1";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2158_2160";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"8099";"12";"1";"0";"13";"12";"1";"13"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2158_2160";"[5310052] KANGAE";"53";"5310";"5310052";"10341";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2158_2160";"[5310061] PALUE";"53";"5310";"5310061";"9124";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2158_2160";"[5310062] KOTING";"53";"5310";"5310062";"7931";"5";"0";"0";"5";"5";"0";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2158_2160";"[5310063] NELLE";"53";"5310";"5310063";"5635";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2158_2160";"[5310070] NITA";"53";"5310";"5310070";"15861";"58";"1";"0";"59";"58";"1";"59"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2158_2160";"[5310071] MAGEPANDA";"53";"5310";"5310071";"7652";"2";"0";"0";"2";"2";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2158_2160";"[5310080] ALOK";"53";"5310";"5310080";"6643";"1";"0";"0";"1";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2158_2160";"[5310081] ALOK BARAT";"53";"5310";"5310081";"3774";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2158_2160";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"10296";"2";"0";"0";"2";"2";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2158_2160";"[5310] SIKKA";"53";"5310";"5310999";"206496";"119";"2";"0";"121";"119";"2";"121"
