tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;n_utp_usaha_ternak_besar_produksinya_seluruhnya_dijual;n_utp_usaha_ternak_besar_produksinya_sebagian_besar_dijual;n_utp_usaha_ternak_besar_produksinya_sisanya_dijual;n_utp_usaha_ternak_besar_produksinya_belum_dijual;jumlah;n_utp_usaha_ternak_besar
BAB_6_tabel_6_26_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310010] PAGA;53;5310;5310010;1;0;0;1;2;2
BAB_6_tabel_6_26_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310011] MEGO;53;5310;5310011;12;1;1;13;27;27
BAB_6_tabel_6_26_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310012] TANA WAWO;53;5310;5310012;0;0;0;2;2;2
BAB_6_tabel_6_26_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310020] LELA;53;5310;5310020;0;0;0;0;0;0
BAB_6_tabel_6_26_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310030] BOLA;53;5310;5310030;0;0;0;0;0;0
BAB_6_tabel_6_26_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310031] DORENG;53;5310;5310031;0;0;0;0;0;0
BAB_6_tabel_6_26_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310032] MAPITARA;53;5310;5310032;0;0;0;0;0;0
BAB_6_tabel_6_26_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310040] TALIBURA;53;5310;5310040;0;0;0;0;0;0
BAB_6_tabel_6_26_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310041] WAIGETE;53;5310;5310041;0;0;0;0;0;0
BAB_6_tabel_6_26_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;1;1;1
BAB_6_tabel_6_26_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310050] KEWAPANTE;53;5310;5310050;0;0;0;0;0;0
BAB_6_tabel_6_26_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310051] HEWOKLOANG;53;5310;5310051;0;0;0;0;0;0
BAB_6_tabel_6_26_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310052] KANGAE;53;5310;5310052;0;0;0;0;0;0
BAB_6_tabel_6_26_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0
BAB_6_tabel_6_26_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310062] KOTING;53;5310;5310062;0;0;0;0;0;0
BAB_6_tabel_6_26_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310063] NELLE;53;5310;5310063;0;0;0;0;0;0
BAB_6_tabel_6_26_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310070] NITA;53;5310;5310070;1;0;0;3;4;4
BAB_6_tabel_6_26_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310071] MAGEPANDA;53;5310;5310071;45;5;2;118;170;170
BAB_6_tabel_6_26_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310080] ALOK;53;5310;5310080;0;0;0;1;1;1
BAB_6_tabel_6_26_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310081] ALOK BARAT;53;5310;5310081;0;0;0;0;0;0
