"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_usaha_selain_ternak_besar_produksi_daging";"n_rtup_usaha_selain_ternak_besar_produksi_susu_segar";"n_rtup_usaha_selain_ternak_besar_produksi_telur_konsumsi";"n_rtup_usaha_selain_ternak_besar_produksi_telur_tetas";"n_rtup_usaha_selain_ternak_besar_produksi_semen_ternak";"n_rtup_usaha_selain_ternak_besar_produksi_embrio";"n_rtup_usaha_selain_ternak_besar_produksi_madu";"n_rtup_usaha_selain_ternak_besar_produksi_liur_atau_sarang";"n_rtup_usaha_selain_ternak_besar_produksi_bulu";"n_rtup_usaha_selain_ternak_besar_produksi_kepompong";"n_rtup_usaha_selain_ternak_besar_produksi_kulit";"n_rtup_usaha_selain_ternak_besar_produksi_lilin_malam";"jumlah";"n_rtup_usaha_selain_ternak_besar"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4402";"[5310010] PAGA";"53";"5310";"5310010";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4402";"[5310011] MEGO";"53";"5310";"5310011";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4402";"[5310012] TANA WAWO";"53";"5310";"5310012";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4402";"[5310020] LELA";"53";"5310";"5310020";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4402";"[5310030] BOLA";"53";"5310";"5310030";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4402";"[5310031] DORENG";"53";"5310";"5310031";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4402";"[5310032] MAPITARA";"53";"5310";"5310032";"20";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"20";"20"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4402";"[5310040] TALIBURA";"53";"5310";"5310040";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"10"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4402";"[5310041] WAIGETE";"53";"5310";"5310041";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9";"9"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4402";"[5310042] WAIBLAMA";"53";"5310";"5310042";"6";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4402";"[5310050] KEWAPANTE";"53";"5310";"5310050";"7";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4402";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"16";"0";"3";"4";"0";"0";"0";"0";"0";"0";"0";"0";"23";"16"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4402";"[5310052] KANGAE";"53";"5310";"5310052";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4402";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4402";"[5310062] KOTING";"53";"5310";"5310062";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4402";"[5310063] NELLE";"53";"5310";"5310063";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4402";"[5310070] NITA";"53";"5310";"5310070";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4402";"[5310071] MAGEPANDA";"53";"5310";"5310071";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4402";"[5310080] ALOK";"53";"5310";"5310080";"53";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"54";"54"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4402";"[5310081] ALOK BARAT";"53";"5310";"5310081";"64";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"64";"64"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4402";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4402";"[5310] SIKKA";"53";"5310";"5310999";"225";"0";"8";"4";"0";"0";"0";"0";"0";"0";"0";"0";"237";"227"
