"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_dipanen_sendiri";"n_utp_diijonkan";"n_utp_ditebaskan";"n_utp_belum_panen_habis";"n_utp_puso";"n_utp_tidak_panen";"n_utp_belum_panen";"n_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310010] PAGA";"53";"5310";"5310010";"8";"0";"0";"4";"0";"0";"3";"10"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310011] MEGO";"53";"5310";"5310011";"14";"0";"0";"0";"0";"0";"10";"21"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310012] TANA WAWO";"53";"5310";"5310012";"0";"0";"0";"0";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310020] LELA";"53";"5310";"5310020";"17";"0";"0";"1";"1";"0";"17";"30"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310030] BOLA";"53";"5310";"5310030";"1";"0";"0";"1";"0";"1";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310031] DORENG";"53";"5310";"5310031";"6";"0";"0";"3";"0";"0";"0";"9"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310032] MAPITARA";"53";"5310";"5310032";"2";"0";"0";"0";"0";"0";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310040] TALIBURA";"53";"5310";"5310040";"14";"0";"0";"0";"0";"0";"1";"15"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310041] WAIGETE";"53";"5310";"5310041";"54";"0";"0";"5";"0";"0";"4";"61"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310042] WAIBLAMA";"53";"5310";"5310042";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310050] KEWAPANTE";"53";"5310";"5310050";"4";"0";"0";"0";"0";"0";"0";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"2";"0";"0";"0";"0";"0";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310052] KANGAE";"53";"5310";"5310052";"6";"0";"0";"0";"0";"0";"1";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310061] PALUE";"53";"5310";"5310061";"1";"0";"0";"0";"0";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310062] KOTING";"53";"5310";"5310062";"10";"0";"0";"1";"0";"0";"4";"12"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310063] NELLE";"53";"5310";"5310063";"0";"0";"0";"0";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310070] NITA";"53";"5310";"5310070";"168";"0";"0";"10";"0";"1";"65";"217"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310071] MAGEPANDA";"53";"5310";"5310071";"50";"0";"0";"4";"0";"3";"9";"63"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310080] ALOK";"53";"5310";"5310080";"8";"0";"0";"1";"0";"0";"0";"9"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310081] ALOK BARAT";"53";"5310";"5310081";"18";"0";"0";"2";"1";"0";"0";"19"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"3";"0";"0";"0";"0";"0";"0";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310] SIKKA";"53";"5310";"5310999";"386";"0";"0";"32";"2";"5";"116";"488"
