"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_tunggal";"n_utp_campuran";"n_utp_tumpang_sari";"n_utp_asosiasi_antar_semusim";"n_utp_jumlah";"n_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3115";"[5310010] PAGA";"53";"5310";"5310010";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3115";"[5310011] MEGO";"53";"5310";"5310011";"0";"4";"0";"0";"4";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3115";"[5310012] TANA WAWO";"53";"5310";"5310012";"0";"6";"0";"0";"6";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3115";"[5310020] LELA";"53";"5310";"5310020";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3115";"[5310030] BOLA";"53";"5310";"5310030";"0";"1";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3115";"[5310031] DORENG";"53";"5310";"5310031";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3115";"[5310032] MAPITARA";"53";"5310";"5310032";"0";"4";"0";"0";"4";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3115";"[5310040] TALIBURA";"53";"5310";"5310040";"0";"3";"0";"0";"3";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3115";"[5310041] WAIGETE";"53";"5310";"5310041";"2";"1";"1";"0";"4";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3115";"[5310042] WAIBLAMA";"53";"5310";"5310042";"1";"10";"0";"4";"15";"15"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3115";"[5310050] KEWAPANTE";"53";"5310";"5310050";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3115";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3115";"[5310052] KANGAE";"53";"5310";"5310052";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3115";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3115";"[5310062] KOTING";"53";"5310";"5310062";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3115";"[5310063] NELLE";"53";"5310";"5310063";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3115";"[5310070] NITA";"53";"5310";"5310070";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3115";"[5310071] MAGEPANDA";"53";"5310";"5310071";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3115";"[5310080] ALOK";"53";"5310";"5310080";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3115";"[5310081] ALOK BARAT";"53";"5310";"5310081";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3115";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"0";"6";"0";"0";"6";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3115";"[5310] SIKKA";"53";"5310";"5310999";"3";"35";"1";"4";"43";"43"
