tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;n_utp_usaha_selain_ternak_besar_produksinya_seluruhnya_dijual;n_utp_usaha_selain_ternak_besar_produksinya_sebagian_besar_dijual;n_utp_usaha_selain_ternak_besar_produksinya_sisanya_dijual;n_utp_usaha_selain_ternak_besar_produksinya_belum_dijual;jumlah;n_utp_usaha_selain_ternak_besar
BAB_6_tabel_6_27_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310010] PAGA;53;5310;5310010;3;0;0;7;10;10
BAB_6_tabel_6_27_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310011] MEGO;53;5310;5310011;7;1;0;23;31;31
BAB_6_tabel_6_27_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310012] TANA WAWO;53;5310;5310012;0;1;0;10;11;11
BAB_6_tabel_6_27_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310020] LELA;53;5310;5310020;1;2;0;13;16;16
BAB_6_tabel_6_27_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310030] BOLA;53;5310;5310030;1;0;0;1;2;2
BAB_6_tabel_6_27_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310031] DORENG;53;5310;5310031;0;0;0;7;7;7
BAB_6_tabel_6_27_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310032] MAPITARA;53;5310;5310032;0;0;4;19;23;23
BAB_6_tabel_6_27_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310040] TALIBURA;53;5310;5310040;0;0;0;1;1;1
BAB_6_tabel_6_27_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310041] WAIGETE;53;5310;5310041;0;1;0;5;6;6
BAB_6_tabel_6_27_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0;0
BAB_6_tabel_6_27_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310050] KEWAPANTE;53;5310;5310050;0;1;0;4;5;5
BAB_6_tabel_6_27_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310051] HEWOKLOANG;53;5310;5310051;1;0;0;0;1;1
BAB_6_tabel_6_27_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310052] KANGAE;53;5310;5310052;2;0;1;14;17;17
BAB_6_tabel_6_27_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0
BAB_6_tabel_6_27_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310062] KOTING;53;5310;5310062;3;1;0;2;6;6
BAB_6_tabel_6_27_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310063] NELLE;53;5310;5310063;1;0;1;5;7;7
BAB_6_tabel_6_27_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310070] NITA;53;5310;5310070;5;1;0;22;28;28
BAB_6_tabel_6_27_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310071] MAGEPANDA;53;5310;5310071;16;5;0;51;72;72
BAB_6_tabel_6_27_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310080] ALOK;53;5310;5310080;4;0;0;6;10;10
BAB_6_tabel_6_27_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310081] ALOK BARAT;53;5310;5310081;4;0;1;11;16;16
BAB_6_tabel_6_27_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310082] ALOK TIMUR;53;5310;5310082;2;0;0;9;11;11
BAB_6_tabel_6_27_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310] SIKKA;53;5310;5310999;50;13;7;210;280;280
BAB_6_tabel_6_27_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310010] PAGA;53;5310;5310010;61;30;12;409;512;512
BAB_6_tabel_6_27_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310011] MEGO;53;5310;5310011;74;24;16;468;582;582
