"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_seluruhnya_dijual";"n_utp_sebagian_besar_dijual";"n_utp_sebagian_besar_dikonsumsi_sendiri";"n_utp_seluruhnya_dikonsumsi_sendiri";"n_utp_belum_dijual"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1205";"[5310010] PAGA";"53";"5310";"5310010";"1";"1";"3";"228";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1205";"[5310011] MEGO";"53";"5310";"5310011";"4";"13";"2";"174";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1205";"[5310012] TANA WAWO";"53";"5310";"5310012";"2";"1";"1";"17";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1205";"[5310020] LELA";"53";"5310";"5310020";"12";"27";"32";"308";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1205";"[5310030] BOLA";"53";"5310";"5310030";"10";"86";"31";"294";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1205";"[5310031] DORENG";"53";"5310";"5310031";"1";"11";"18";"71";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1205";"[5310032] MAPITARA";"53";"5310";"5310032";"0";"5";"6";"56";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1205";"[5310040] TALIBURA";"53";"5310";"5310040";"2";"184";"49";"413";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1205";"[5310041] WAIGETE";"53";"5310";"5310041";"1";"12";"13";"175";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1205";"[5310042] WAIBLAMA";"53";"5310";"5310042";"0";"2";"1";"11";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1205";"[5310050] KEWAPANTE";"53";"5310";"5310050";"3";"33";"6";"65";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1205";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"2";"25";"14";"33";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1205";"[5310052] KANGAE";"53";"5310";"5310052";"11";"99";"157";"581";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1205";"[5310061] PALUE";"53";"5310";"5310061";"5";"0";"13";"776";"30"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1205";"[5310062] KOTING";"53";"5310";"5310062";"10";"168";"42";"215";"9"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1205";"[5310063] NELLE";"53";"5310";"5310063";"6";"118";"144";"184";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1205";"[5310070] NITA";"53";"5310";"5310070";"16";"133";"86";"852";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1205";"[5310071] MAGEPANDA";"53";"5310";"5310071";"1";"3";"1";"9";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1205";"[5310080] ALOK";"53";"5310";"5310080";"3";"11";"24";"184";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1205";"[5310081] ALOK BARAT";"53";"5310";"5310081";"2";"9";"5";"43";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1205";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"1";"57";"80";"296";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1205";"[5310] SIKKA";"53";"5310";"5310999";"93";"998";"728";"4985";"93"
