"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_budidaya_tanaman_kehutanan";"n_utp_budidaya_tanaman_kehutanan_umur_tanaman_kurang_2_thn";"n_utp_budidaya_tanaman_kehutanan_umur_tanaman_2_sampai_4_thn";"n_utp_budidaya_tanaman_kehutanan_umur_tanaman_4_sampai_6_thn";"n_utp_budidaya_tanaman_kehutanan_umur_tanaman_lebih_6_thn"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6109";"[5310010] PAGA";"53";"5310";"5310010";"3";"0";"1";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6109";"[5310011] MEGO";"53";"5310";"5310011";"6";"4";"4";"5";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6109";"[5310012] TANA WAWO";"53";"5310";"5310012";"45";"1";"6";"4";"34"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6109";"[5310020] LELA";"53";"5310";"5310020";"13";"0";"2";"3";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6109";"[5310030] BOLA";"53";"5310";"5310030";"187";"2";"27";"34";"155"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6109";"[5310031] DORENG";"53";"5310";"5310031";"13";"0";"0";"3";"10"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6109";"[5310032] MAPITARA";"53";"5310";"5310032";"3";"2";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6109";"[5310040] TALIBURA";"53";"5310";"5310040";"387";"11";"31";"48";"351"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6109";"[5310041] WAIGETE";"53";"5310";"5310041";"134";"11";"12";"12";"103"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6109";"[5310042] WAIBLAMA";"53";"5310";"5310042";"154";"12";"40";"60";"77"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6109";"[5310050] KEWAPANTE";"53";"5310";"5310050";"64";"1";"4";"5";"56"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6109";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"552";"7";"32";"40";"478"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6109";"[5310052] KANGAE";"53";"5310";"5310052";"291";"52";"43";"32";"171"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6109";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6109";"[5310062] KOTING";"53";"5310";"5310062";"133";"1";"2";"13";"118"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6109";"[5310063] NELLE";"53";"5310";"5310063";"198";"7";"15";"84";"188"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6109";"[5310070] NITA";"53";"5310";"5310070";"155";"6";"19";"27";"129"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6109";"[5310071] MAGEPANDA";"53";"5310";"5310071";"11";"3";"4";"3";"7"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6109";"[5310080] ALOK";"53";"5310";"5310080";"7";"0";"1";"0";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6109";"[5310081] ALOK BARAT";"53";"5310";"5310081";"1";"0";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6109";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"157";"6";"5";"21";"134"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6109";"[5310] SIKKA";"53";"5310";"5310999";"2514";"126";"248";"394";"2034"
