"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_budidaya";"n_rtup_pembibitan";"n_rtup_budidaya_dan_pembibitan";"n_rtup_jumlah";"n_rtup_budidaya_jumlah";"n_rtup_pembibitan_jumlah";"n_rtup"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310010] PAGA";"53";"5310";"5310010";"16";"0";"0";"16";"16";"0";"16"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310011] MEGO";"53";"5310";"5310011";"290";"0";"0";"290";"290";"0";"290"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310012] TANA WAWO";"53";"5310";"5310012";"546";"0";"0";"546";"546";"0";"546"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310020] LELA";"53";"5310";"5310020";"5";"0";"0";"5";"5";"0";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310030] BOLA";"53";"5310";"5310030";"141";"0";"0";"141";"141";"0";"141"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310031] DORENG";"53";"5310";"5310031";"100";"0";"0";"100";"100";"0";"100"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310032] MAPITARA";"53";"5310";"5310032";"25";"0";"0";"25";"25";"0";"25"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310040] TALIBURA";"53";"5310";"5310040";"84";"0";"0";"84";"84";"0";"84"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310041] WAIGETE";"53";"5310";"5310041";"56";"0";"0";"56";"56";"0";"56"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310042] WAIBLAMA";"53";"5310";"5310042";"9";"0";"0";"9";"9";"0";"9"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310050] KEWAPANTE";"53";"5310";"5310050";"6";"0";"0";"6";"6";"0";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"100";"0";"0";"100";"100";"0";"100"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310052] KANGAE";"53";"5310";"5310052";"46";"0";"0";"46";"46";"0";"46"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310061] PALUE";"53";"5310";"5310061";"35";"0";"0";"35";"35";"0";"35"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310062] KOTING";"53";"5310";"5310062";"3";"0";"0";"3";"3";"0";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310063] NELLE";"53";"5310";"5310063";"2";"0";"0";"2";"2";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310070] NITA";"53";"5310";"5310070";"49";"0";"0";"49";"49";"0";"49"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310071] MAGEPANDA";"53";"5310";"5310071";"2";"0";"0";"2";"2";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310080] ALOK";"53";"5310";"5310080";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310081] ALOK BARAT";"53";"5310";"5310081";"1";"0";"0";"1";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"30";"0";"0";"30";"30";"0";"30"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310] SIKKA";"53";"5310";"5310999";"1546";"0";"0";"1546";"1546";"0";"1546"
