"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"jenis_produksi";"satuan_produksi";"ID";"sum_jumlah_tanaman_belum_menghasilkan";"sum_jumlah_tanaman_menghasilkan";"sum_jumlah_tanaman_tidak_menghasilkan";"sum_produksi_volume";"sum_produksi_nilai"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2116";"[5310020] LELA";"53";"5310";"5310020";"5";"1";"1072920";"0";"1";"0";"30";"100"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2116";"[5310030] BOLA";"53";"5310";"5310030";"5";"1";"1072906";"0";"1";"0";"125";"125"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2116";"[5310040] TALIBURA";"53";"5310";"5310040";"5";"1";"5367646";"0";"27";"0";"970";"1840"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2116";"[5310041] WAIGETE";"53";"5310";"5310041";"5";"1";"4291901";"0";"8";"0";"128";"380"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2116";"[5310042] WAIBLAMA";"53";"5310";"5310042";"5";"1";"1072969";"0";"1";"0";"6";"60"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2116";"[5310050] KEWAPANTE";"53";"5310";"5310050";"5";"1";"2145697";"0";"7";"0";"98";"512"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2116";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"5";"1";"3218521";"0";"9";"0";"155";"450"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2116";"[5310052] KANGAE";"53";"5310";"5310052";"5";"1";"5364166";"0";"10";"0";"187";"1685"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2116";"[5310062] KOTING";"53";"5310";"5310062";"5";"1";"2145629";"0";"3";"0";"15";"68"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2116";"[5310063] NELLE";"53";"5310";"5310063";"5";"1";"1072809";"0";"1";"0";"40";"50"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2116";"[5310070] NITA";"53";"5310";"5310070";"5";"1";"3218404";"0";"5";"0";"89";"805"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2116";"[5310071] MAGEPANDA";"53";"5310";"5310071";"5";"1";"2145797";"0";"5";"0";"96";"450"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2116";"[5310080] ALOK";"53";"5310";"5310080";"5";"1";"4291571";"0";"11";"0";"1237";"1966"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2116";"[5310081] ALOK BARAT";"53";"5310";"5310081";"5";"1";"1072888";"0";"4";"0";"245";"200"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2116";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"5";"1";"3218639";"0";"4";"0";"253";"1400"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2116";"[5310] SIKKA";"53";"5310";"5310999";"5";"1";"40772463";"0";"97";"0";"3674";"10091"
