"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_budidaya";"n_utp_pembibitan";"n_utp_budidaya_dan_pembibitan";"n_utp_jumlah";"n_utp_budidaya_jumlah";"n_utp_pembibitan_jumlah";"n_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3121";"[5310010] PAGA";"53";"5310";"5310010";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3121";"[5310011] MEGO";"53";"5310";"5310011";"2";"0";"0";"2";"2";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3121";"[5310012] TANA WAWO";"53";"5310";"5310012";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3121";"[5310020] LELA";"53";"5310";"5310020";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3121";"[5310030] BOLA";"53";"5310";"5310030";"89";"0";"0";"89";"89";"0";"89"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3121";"[5310031] DORENG";"53";"5310";"5310031";"16";"0";"0";"16";"16";"0";"16"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3121";"[5310032] MAPITARA";"53";"5310";"5310032";"4";"0";"0";"4";"4";"0";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3121";"[5310040] TALIBURA";"53";"5310";"5310040";"33";"0";"0";"33";"33";"0";"33"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3121";"[5310041] WAIGETE";"53";"5310";"5310041";"393";"0";"0";"393";"393";"0";"393"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3121";"[5310042] WAIBLAMA";"53";"5310";"5310042";"1";"0";"0";"1";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3121";"[5310050] KEWAPANTE";"53";"5310";"5310050";"51";"0";"0";"51";"51";"0";"51"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3121";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"46";"0";"0";"46";"46";"0";"46"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3121";"[5310052] KANGAE";"53";"5310";"5310052";"202";"0";"0";"202";"202";"0";"202"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3121";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3121";"[5310062] KOTING";"53";"5310";"5310062";"1";"0";"0";"1";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3121";"[5310063] NELLE";"53";"5310";"5310063";"150";"0";"0";"150";"150";"0";"150"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3121";"[5310070] NITA";"53";"5310";"5310070";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3121";"[5310071] MAGEPANDA";"53";"5310";"5310071";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3121";"[5310080] ALOK";"53";"5310";"5310080";"32";"0";"0";"32";"32";"0";"32"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3121";"[5310081] ALOK BARAT";"53";"5310";"5310081";"3";"0";"0";"3";"3";"0";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3121";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"229";"0";"0";"229";"229";"0";"229"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3121";"[5310] SIKKA";"53";"5310";"5310999";"1252";"0";"0";"1252";"1252";"0";"1252"
