"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_tunggal";"n_rtup_campuran";"n_rtup_tumpang_sari";"n_rtup_asosiasi_antar_semusim";"n_rtup_jumlah";"n_rtup"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310010] PAGA";"53";"5310";"5310010";"3";"7";"0";"0";"10";"11"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310011] MEGO";"53";"5310";"5310011";"5";"33";"0";"0";"38";"38"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310012] TANA WAWO";"53";"5310";"5310012";"2";"131";"0";"1";"134";"134"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310020] LELA";"53";"5310";"5310020";"0";"46";"0";"0";"46";"46"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310030] BOLA";"53";"5310";"5310030";"9";"864";"1";"0";"874";"874"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310031] DORENG";"53";"5310";"5310031";"7";"1449";"1";"0";"1457";"1457"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310032] MAPITARA";"53";"5310";"5310032";"3";"204";"0";"0";"207";"207"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310040] TALIBURA";"53";"5310";"5310040";"1";"15";"2";"13";"31";"31"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310041] WAIGETE";"53";"5310";"5310041";"2";"381";"3";"51";"437";"437"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310042] WAIBLAMA";"53";"5310";"5310042";"1";"2";"1";"1";"5";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310050] KEWAPANTE";"53";"5310";"5310050";"35";"102";"1";"0";"138";"138"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"11";"1118";"4";"1";"1134";"1134"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310052] KANGAE";"53";"5310";"5310052";"5";"97";"4";"0";"106";"105"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310061] PALUE";"53";"5310";"5310061";"0";"5";"0";"0";"5";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310062] KOTING";"53";"5310";"5310062";"2";"32";"0";"0";"34";"34"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310063] NELLE";"53";"5310";"5310063";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310070] NITA";"53";"5310";"5310070";"1";"305";"1";"2";"309";"309"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310071] MAGEPANDA";"53";"5310";"5310071";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310080] ALOK";"53";"5310";"5310080";"1";"6";"1";"0";"8";"9"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310081] ALOK BARAT";"53";"5310";"5310081";"2";"2";"1";"0";"5";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"4";"62";"4";"0";"70";"70"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310] SIKKA";"53";"5310";"5310999";"94";"4861";"24";"69";"5048";"5049"
