"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"ID";"n_utp_budidaya";"n_utp_pembibitan";"n_utp_budidaya_dan_pembibitan";"n_utp_jumlah";"n_utp_budidaya_jumlah";"n_utp_pembibitan_jumlah";"n_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2124_2128";"[5310010] PAGA";"53";"5310";"5310010";"16571555";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2124_2128";"[5310011] MEGO";"53";"5310";"5310011";"14204034";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2124_2128";"[5310012] TANA WAWO";"53";"5310";"5310012";"11836585";"7";"0";"0";"7";"7";"0";"7"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2124_2128";"[5310020] LELA";"53";"5310";"5310020";"10652841";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2124_2128";"[5310030] BOLA";"53";"5310";"5310030";"9467940";"2";"0";"0";"2";"2";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2124_2128";"[5310031] DORENG";"53";"5310";"5310031";"10651356";"1";"0";"0";"1";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2124_2128";"[5310032] MAPITARA";"53";"5310";"5310032";"4733910";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2124_2128";"[5310040] TALIBURA";"53";"5310";"5310040";"23669310";"5";"0";"0";"5";"5";"0";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2124_2128";"[5310041] WAIGETE";"53";"5310";"5310041";"13017950";"3";"0";"0";"3";"3";"0";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2124_2128";"[5310042] WAIBLAMA";"53";"5310";"5310042";"8284087";"3";"0";"0";"3";"3";"0";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2124_2128";"[5310050] KEWAPANTE";"53";"5310";"5310050";"10650897";"1";"0";"0";"1";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2124_2128";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"8284123";"6";"0";"0";"6";"6";"0";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2124_2128";"[5310052] KANGAE";"53";"5310";"5310052";"10652085";"1";"0";"0";"1";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2124_2128";"[5310061] PALUE";"53";"5310";"5310061";"9468452";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2124_2128";"[5310062] KOTING";"53";"5310";"5310062";"8284843";"10";"0";"0";"10";"10";"0";"10"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2124_2128";"[5310063] NELLE";"53";"5310";"5310063";"5917715";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2124_2128";"[5310070] NITA";"53";"5310";"5310070";"17752995";"8";"0";"1";"9";"9";"1";"9"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2124_2128";"[5310071] MAGEPANDA";"53";"5310";"5310071";"9468172";"2";"0";"0";"2";"2";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2124_2128";"[5310080] ALOK";"53";"5310";"5310080";"8284598";"1";"0";"0";"1";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2124_2128";"[5310081] ALOK BARAT";"53";"5310";"5310081";"4734034";"1";"1";"0";"2";"1";"1";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2124_2128";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"13018957";"1";"0";"0";"1";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2124_2128";"[5310] SIKKA";"53";"5310";"5310999";"229606439";"52";"1";"1";"54";"53";"2";"54"
