"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"ID";"n_utp_budidaya";"n_utp_pembibitan";"n_utp_budidaya_dan_pembibitan";"n_utp_jumlah";"n_utp_budidaya_jumlah";"n_utp_pembibitan_jumlah";"n_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310010] PAGA";"53";"5310";"5310010";"78593277";"1";"0";"0";"1";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310011] MEGO";"53";"5310";"5310011";"67365510";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310012] TANA WAWO";"53";"5310";"5310012";"56137815";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310020] LELA";"53";"5310";"5310020";"50523948";"4";"0";"0";"4";"4";"0";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310030] BOLA";"53";"5310";"5310030";"44910108";"23";"0";"0";"23";"23";"0";"23"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310031] DORENG";"53";"5310";"5310031";"50523795";"2";"0";"0";"2";"2";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310032] MAPITARA";"53";"5310";"5310032";"22454994";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310040] TALIBURA";"53";"5310";"5310040";"112272510";"5";"0";"0";"5";"5";"0";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310041] WAIGETE";"53";"5310";"5310041";"61749303";"7";"0";"0";"7";"7";"0";"7"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310042] WAIBLAMA";"53";"5310";"5310042";"39294948";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310050] KEWAPANTE";"53";"5310";"5310050";"50522004";"15";"0";"0";"15";"15";"0";"15"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"39294836";"1";"0";"0";"1";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310052] KANGAE";"53";"5310";"5310052";"50521860";"19";"0";"0";"19";"19";"0";"19"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310061] PALUE";"53";"5310";"5310061";"44908252";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310062] KOTING";"53";"5310";"5310062";"39294668";"2";"0";"0";"2";"2";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310063] NELLE";"53";"5310";"5310063";"28068182";"6";"0";"0";"6";"6";"0";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310070] NITA";"53";"5310";"5310070";"84204840";"2";"0";"0";"2";"2";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310071] MAGEPANDA";"53";"5310";"5310071";"44909156";"1";"0";"0";"1";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310080] ALOK";"53";"5310";"5310080";"39295459";"11";"0";"0";"11";"11";"0";"11"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310081] ALOK BARAT";"53";"5310";"5310081";"22454526";"3";"0";"0";"3";"3";"0";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"61749864";"28";"0";"0";"28";"28";"0";"28"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310] SIKKA";"53";"5310";"5310999";"1089049855";"130";"0";"0";"130";"130";"0";"130"
