"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_budidaya";"n_rtup_pembibitan";"n_rtup_budidaya_dan_pembibitan";"n_rtup_jumlah";"n_rtup_budidaya_jumlah";"n_rtup_pembibitan_jumlah";"n_rtup"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310010] PAGA";"53";"5310";"5310010";"25";"0";"0";"25";"25";"0";"25"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310011] MEGO";"53";"5310";"5310011";"1";"0";"0";"1";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310012] TANA WAWO";"53";"5310";"5310012";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310020] LELA";"53";"5310";"5310020";"25";"0";"0";"25";"25";"0";"25"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310030] BOLA";"53";"5310";"5310030";"79";"0";"0";"79";"79";"0";"79"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310031] DORENG";"53";"5310";"5310031";"70";"0";"0";"70";"70";"0";"70"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310032] MAPITARA";"53";"5310";"5310032";"7";"0";"0";"7";"7";"0";"7"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310040] TALIBURA";"53";"5310";"5310040";"285";"0";"0";"285";"285";"0";"285"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310041] WAIGETE";"53";"5310";"5310041";"1139";"0";"0";"1139";"1139";"0";"1139"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310042] WAIBLAMA";"53";"5310";"5310042";"148";"0";"0";"148";"148";"0";"148"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310050] KEWAPANTE";"53";"5310";"5310050";"382";"0";"0";"382";"382";"0";"382"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"170";"0";"0";"170";"170";"0";"170"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310052] KANGAE";"53";"5310";"5310052";"814";"1";"0";"815";"814";"1";"815"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310061] PALUE";"53";"5310";"5310061";"1";"0";"0";"1";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310062] KOTING";"53";"5310";"5310062";"24";"0";"0";"24";"24";"0";"24"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310063] NELLE";"53";"5310";"5310063";"34";"0";"0";"34";"34";"0";"34"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310070] NITA";"53";"5310";"5310070";"86";"0";"0";"86";"86";"0";"86"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310071] MAGEPANDA";"53";"5310";"5310071";"312";"0";"0";"312";"312";"0";"312"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310080] ALOK";"53";"5310";"5310080";"79";"0";"0";"79";"79";"0";"79"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310081] ALOK BARAT";"53";"5310";"5310081";"198";"0";"0";"198";"198";"0";"198"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"230";"0";"0";"230";"230";"0";"230"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310] SIKKA";"53";"5310";"5310999";"4109";"1";"0";"4110";"4109";"1";"4110"
