"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"ID";"n_utp_budidaya";"n_utp_pembibitan";"n_utp_budidaya_dan_pembibitan";"n_utp_jumlah";"n_utp_budidaya_jumlah";"n_utp_pembibitan_jumlah";"n_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2133_2139";"[5310010] PAGA";"53";"5310";"5310010";"13434141";"7";"0";"0";"7";"7";"0";"7"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2133_2139";"[5310011] MEGO";"53";"5310";"5310011";"11514822";"10";"0";"0";"10";"10";"0";"10"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2133_2139";"[5310012] TANA WAWO";"53";"5310";"5310012";"9595575";"1";"0";"0";"1";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2133_2139";"[5310020] LELA";"53";"5310";"5310020";"8635932";"19";"0";"0";"19";"19";"0";"19"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2133_2139";"[5310030] BOLA";"53";"5310";"5310030";"7676316";"40";"0";"0";"40";"40";"0";"40"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2133_2139";"[5310031] DORENG";"53";"5310";"5310031";"8635779";"6";"0";"0";"6";"6";"0";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2133_2139";"[5310032] MAPITARA";"53";"5310";"5310032";"3838098";"8";"0";"0";"8";"8";"0";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2133_2139";"[5310040] TALIBURA";"53";"5310";"5310040";"19187419";"176";"0";"0";"176";"176";"0";"176"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2133_2139";"[5310041] WAIGETE";"53";"5310";"5310041";"10552828";"313";"1";"1";"315";"314";"2";"315"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2133_2139";"[5310042] WAIBLAMA";"53";"5310";"5310042";"6715373";"21";"0";"0";"21";"21";"0";"21"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2133_2139";"[5310050] KEWAPANTE";"53";"5310";"5310050";"8633979";"164";"0";"0";"164";"164";"0";"164"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2133_2139";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"6714998";"20";"0";"0";"20";"20";"0";"20"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2133_2139";"[5310052] KANGAE";"53";"5310";"5310052";"8633844";"94";"0";"0";"94";"94";"0";"94"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2133_2139";"[5310061] PALUE";"53";"5310";"5310061";"7674460";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2133_2139";"[5310062] KOTING";"53";"5310";"5310062";"6715398";"96";"0";"0";"96";"96";"0";"96"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2133_2139";"[5310063] NELLE";"53";"5310";"5310063";"4797215";"71";"0";"0";"71";"71";"0";"71"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2133_2139";"[5310070] NITA";"53";"5310";"5310070";"14391495";"68";"0";"0";"68";"68";"0";"68"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2133_2139";"[5310071] MAGEPANDA";"53";"5310";"5310071";"7675372";"278";"0";"0";"278";"278";"0";"278"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2133_2139";"[5310080] ALOK";"53";"5310";"5310080";"6715898";"294";"0";"0";"294";"294";"0";"294"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2133_2139";"[5310081] ALOK BARAT";"53";"5310";"5310081";"3837634";"148";"1";"0";"149";"148";"1";"149"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2133_2139";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"10553411";"175";"0";"0";"175";"175";"0";"175"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2133_2139";"[5310] SIKKA";"53";"5310";"5310999";"186129987";"2009";"2";"1";"2012";"2010";"3";"2012"
