"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup";"jumlah_tanaman_belum_menghasilkan";"jumlah_tanaman_menghasilkan";"jumlah_tanaman_tidak_menghasilkan";"sum_produksi_volume";"sum_produksi_nilai";"produktivitas"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3101";"[5310010] PAGA";"53";"5310";"5310010";"11";"47";"161";"30";"23602";"32652";"147"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3101";"[5310011] MEGO";"53";"5310";"5310011";"23";"33";"119";"11";"17954";"57378";"151"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3101";"[5310012] TANA WAWO";"53";"5310";"5310012";"39";"17";"147";"0";"19785";"44105";"135"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3101";"[5310020] LELA";"53";"5310";"5310020";"1";"0";"5";"0";"100";"100";"20"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3101";"[5310030] BOLA";"53";"5310";"5310030";-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3101";"[5310031] DORENG";"53";"5310";"5310031";-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3101";"[5310032] MAPITARA";"53";"5310";"5310032";-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3101";"[5310040] TALIBURA";"53";"5310";"5310040";"1";"0";"1";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3101";"[5310041] WAIGETE";"53";"5310";"5310041";-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3101";"[5310042] WAIBLAMA";"53";"5310";"5310042";-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3101";"[5310050] KEWAPANTE";"53";"5310";"5310050";"1";"30";"0";"0";"0";"0";-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3101";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"2";"22";"0";"0";"0";"0";-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3101";"[5310052] KANGAE";"53";"5310";"5310052";"2";"3";"5";"0";"360";"1440";"72"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3101";"[5310061] PALUE";"53";"5310";"5310061";"1";"0";"5";"0";"200";"200";"40"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3101";"[5310062] KOTING";"53";"5310";"5310062";"3";"2";"21";"0";"2337";"35200";"111"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3101";"[5310063] NELLE";"53";"5310";"5310063";-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3101";"[5310070] NITA";"53";"5310";"5310070";"128";"458";"572";"31";"196400";"668700";"343"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3101";"[5310071] MAGEPANDA";"53";"5310";"5310071";"1";"50";"200";"3";"100";"1500";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3101";"[5310080] ALOK";"53";"5310";"5310080";-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3101";"[5310081] ALOK BARAT";"53";"5310";"5310081";-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3101";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"3";"1";"13";"0";"4640";"28719";"357"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3101";"[5310] SIKKA";"53";"5310";"5310999";"216";"663";"1249";"75";"265478";"869994";"213"
