"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"persentase_rtup_seluruhnya_dijual";"persentase_rtup_sebagian_besar_dijual";"persentase_rtup_sebagian_besar_dikonsumsi";"persentase_rtup_belum_dijual"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3128";"[5310010] PAGA";"53";"5310";"5310010";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3128";"[5310011] MEGO";"53";"5310";"5310011";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3128";"[5310012] TANA WAWO";"53";"5310";"5310012";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3128";"[5310020] LELA";"53";"5310";"5310020";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3128";"[5310030] BOLA";"53";"5310";"5310030";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3128";"[5310031] DORENG";"53";"5310";"5310031";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3128";"[5310032] MAPITARA";"53";"5310";"5310032";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3128";"[5310040] TALIBURA";"53";"5310";"5310040";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3128";"[5310041] WAIGETE";"53";"5310";"5310041";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3128";"[5310042] WAIBLAMA";"53";"5310";"5310042";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3128";"[5310050] KEWAPANTE";"53";"5310";"5310050";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3128";"[5310051] HEWOKLOANG";"53";"5310";"5310051";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3128";"[5310052] KANGAE";"53";"5310";"5310052";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3128";"[5310061] PALUE";"53";"5310";"5310061";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3128";"[5310062] KOTING";"53";"5310";"5310062";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3128";"[5310063] NELLE";"53";"5310";"5310063";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3128";"[5310070] NITA";"53";"5310";"5310070";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3128";"[5310071] MAGEPANDA";"53";"5310";"5310071";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3128";"[5310080] ALOK";"53";"5310";"5310080";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3128";"[5310081] ALOK BARAT";"53";"5310";"5310081";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3128";"[5310082] ALOK TIMUR";"53";"5310";"5310082";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3128";"[5310] SIKKA";"53";"5310";"5310999";-;-;-;-
