"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_budidaya";"n_rtup_pembibitan";"n_rtup_budidaya_dan_pembibitan";"n_rtup_jumlah";"n_rtup_budidaya_jumlah";"n_rtup_pembibitan_jumlah";"n_rtup"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2112_2114";"[5310010] PAGA";"53";"5310";"5310010";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2112_2114";"[5310011] MEGO";"53";"5310";"5310011";"1";"0";"0";"1";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2112_2114";"[5310012] TANA WAWO";"53";"5310";"5310012";"3";"0";"0";"3";"3";"0";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2112_2114";"[5310020] LELA";"53";"5310";"5310020";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2112_2114";"[5310030] BOLA";"53";"5310";"5310030";"32";"0";"0";"32";"32";"0";"32"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2112_2114";"[5310031] DORENG";"53";"5310";"5310031";"163";"0";"0";"163";"163";"0";"163"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2112_2114";"[5310032] MAPITARA";"53";"5310";"5310032";"15";"0";"0";"15";"15";"0";"15"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2112_2114";"[5310040] TALIBURA";"53";"5310";"5310040";"4";"0";"0";"4";"4";"0";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2112_2114";"[5310041] WAIGETE";"53";"5310";"5310041";"3";"0";"0";"3";"3";"0";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2112_2114";"[5310042] WAIBLAMA";"53";"5310";"5310042";"3";"0";"0";"3";"3";"0";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2112_2114";"[5310050] KEWAPANTE";"53";"5310";"5310050";"25";"0";"0";"25";"25";"0";"25"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2112_2114";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"108";"1";"0";"109";"108";"1";"109"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2112_2114";"[5310052] KANGAE";"53";"5310";"5310052";"2";"0";"0";"2";"2";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2112_2114";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2112_2114";"[5310062] KOTING";"53";"5310";"5310062";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2112_2114";"[5310063] NELLE";"53";"5310";"5310063";"1";"0";"0";"1";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2112_2114";"[5310070] NITA";"53";"5310";"5310070";"17";"1";"0";"18";"17";"1";"18"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2112_2114";"[5310071] MAGEPANDA";"53";"5310";"5310071";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2112_2114";"[5310080] ALOK";"53";"5310";"5310080";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2112_2114";"[5310081] ALOK BARAT";"53";"5310";"5310081";"1";"0";"0";"1";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2112_2114";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"1";"0";"0";"1";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2112_2114";"[5310] SIKKA";"53";"5310";"5310999";"379";"2";"0";"381";"379";"2";"381"
