"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"populasi_ternak_besar_jantan_anak_diusahakan_rtup";"populasi_ternak_besar_jantan_muda_diusahakan_rtup";"populasi_ternak_besar_jantan_dewasa_diusahakan_rtup";"jml_ternak_besar_jantan_diusahakan_rtup";"populasi_ternak_besar_betina_anak_diusahakan_rtup";"populasi_ternak_besar_betina_muda_diusahakan_rtup";"populasi_ternak_besar_betina_dewasa_2sd8thn_diusahakan_rtup";"populasi_ternak_besar_betina_dewasa_more8thn_diusahakan_rtup";"jml_ternak_besar_betina_diusahakan_rtup";"jumlah";"populasi_ternak_besar_diusahakan_rtup_pada_1Mei2023"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4101";"[5310010] PAGA";"53";"5310";"5310010";"0";"1";"1";"2";"0";"0";"3";"0";"3";"5";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4101";"[5310011] MEGO";"53";"5310";"5310011";"9";"7";"1";"17";"10";"9";"28";"4";"51";"68";"68"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4101";"[5310012] TANA WAWO";"53";"5310";"5310012";"0";"0";"0";"0";"0";"0";"1";"1";"2";"2";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4101";"[5310020] LELA";"53";"5310";"5310020";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4101";"[5310030] BOLA";"53";"5310";"5310030";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4101";"[5310031] DORENG";"53";"5310";"5310031";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4101";"[5310032] MAPITARA";"53";"5310";"5310032";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4101";"[5310040] TALIBURA";"53";"5310";"5310040";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4101";"[5310041] WAIGETE";"53";"5310";"5310041";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4101";"[5310042] WAIBLAMA";"53";"5310";"5310042";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4101";"[5310050] KEWAPANTE";"53";"5310";"5310050";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4101";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4101";"[5310052] KANGAE";"53";"5310";"5310052";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4101";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4101";"[5310062] KOTING";"53";"5310";"5310062";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4101";"[5310063] NELLE";"53";"5310";"5310063";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4101";"[5310070] NITA";"53";"5310";"5310070";"0";"0";"4";"4";"2";"5";"5";"2";"14";"18";"18"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4101";"[5310071] MAGEPANDA";"53";"5310";"5310071";"18";"50";"48";"116";"26";"53";"234";"100";"413";"529";"529"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4101";"[5310080] ALOK";"53";"5310";"5310080";"0";"0";"0";"0";"1";"0";"0";"2";"3";"3";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4101";"[5310081] ALOK BARAT";"53";"5310";"5310081";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4101";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"0";"0";"2";"2";"0";"0";"0";"5";"5";"7";"7"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4101";"[5310] SIKKA";"53";"5310";"5310999";"27";"59";"56";"142";"39";"67";"271";"114";"491";"633";"633"
